ship-city,Amount
KALADHUNGI,29184.96
NANDED WAGHALA,29112.24
CHANDRAPUR,28921.57
PRAYAGRAJ,28567.0
RISHIKESH,28188.33
SAGAR,28110.2
YAVATMAL,27902.4
BETTIAH,27832.89
THIRUVALLA,27828.19
TEZPUR,27720.04
DURG,27624.03
SRIKAKULAM,27404.29
BHIMAVARAM,27272.78
RAE BARELI,27204.27
SULTANPUR,27158.97
SAMBALPUR,27101.79
TURA,26911.05
SIBSAGAR,26825.0
BHIWADI,26797.95
MALDA,26729.48
CHIKKAMAGALURU,26492.19
VIJAPURA,26489.48
SOLAN,26464.0
Kottayam,26275.29
Ulhasnagar,25998.12
delhi,25735.62
THODUPUZHA,25724.27
MADHUBANI,25713.29
LATUR,25654.86
HOSKOTE,25623.0
HAZARIBAGH,25433.61
BHAVNAGAR,25343.0
OTTAPPALAM,25277.0
DARBHANGA,25117.85
Nellore,25048.0
ORAI,24871.91
Kalyan,24731.62
RAICHUR,24719.91
Kannur,24680.57
SOUTH WEST DELHI,24543.0
NAGAON,24409.0
Bhopal,24386.82
KANCHEEPURAM,24258.58
Mysore,24169.75
NAVSARI,24142.24
CHANGANACHERRY,23869.57
KATIHAR,23845.18
RAJPUR SONARPUR,23827.0
BAHADURGARH,23817.43
UNNAO,23656.72
VALSAD,23505.76
SANGAREDDY,23482.5
SATNA,23186.0
AZAMGARH,22990.0
MANDYA,22920.33
RUDRAPUR,22770.78
BARGARH,22738.32
PURNIA,22680.0
RATNAGIRI,22436.0
Madurai,22413.0
CHAMBA,22355.52
BARRACKPORE,22213.05
KORBA,22211.95
Vijayawada,21995.0
Allahabad,21922.67
ALMORA,21891.11
Thiruvananthapuram,21855.43
HAMIRPUR,21840.0
ADALAJ,21838.0
NALGONDA,21830.0
EAST DELHI,21664.14
ARAKONAM,21638.0
DARJEELING,21629.71
KOTHAMANGALAM,21596.29
SITAPUR,21397.24
RAMPUR,21323.1
BARABANKI,21183.86
UTTARPARA KOTRUNG,21130.36
GIRIDIH,21079.04
GONDIYA,21037.14
MUVATTUPUZHA,20832.62
ANAKAPALLE,20750.58
KURUKSHETRA,20690.0
Vellore,20689.67
JALNA,20632.19
NADIAD,20627.48
KENDUJHAR,20603.0
MOTIHARI,20570.81
VILLUPURAM,20467.0
NARASARAOPET,20460.82
LAKHIMPUR,20453.04
Trivandrum,20363.29
PANIHATI,20316.14
Cuttack,20242.0
CHALAKUDY,20228.95
BALLARI,20211.29
PUTTUR,20204.0
DHARMAPURI,20142.48
Howrah,20041.38
Kollam,19987.1
SAMASTIPUR,19952.0
BALLIA,19937.25
CHITRADURGA,19922.95
Agra,19912.0
Varanasi,19844.0
BHUJ,19804.0
ULLAL,19764.67
KUNNATHUNAD,19730.29
SOUTH GOA,19701.0
Kozhikode,19665.95
AMBIKAPUR,19491.0
Chandigarh,19403.0
JALPAIGURI,19294.0
SRI GANGANAGAR,19220.81
MEDINIPUR,19205.0
Mysuru,19187.0
PERUMBAVOOR,19158.1
NORTH GOA,19137.0
KARAIKAL,19122.0
Rajkot,19035.9
MORBI,19033.0
Gandhinagar,18992.8
SIWAN,18957.0
Unknown,18671.0
SIKAR,18467.39
BARIPADA,18405.86
BOISAR,18403.34
Mangalore,18397.36
KAMAREDDY,18332.0
UPPER TADONG,18325.95
TALEGAON DABHADE,18323.48
WARDHA,18298.43
BERHAMPORE,18269.0
PONDA,17874.14
GHAZIPUR,17858.43
GONDA,17839.86
Kanpur,17820.33
Dombivali,17809.57
Guntur,17798.0
HARDOI,17748.29
SUNDARGARH,17744.95
lucknow,17708.24
MADANAPALLE,17682.0
KARWAR,17504.81
TENKASI,17453.33
VAISHALI,17440.78
Udaipur,17404.15
BOLPUR,17335.76
THOUBAL,17258.0
MAHESANA,17254.28
TINSUKIA,17202.86
Palakkad,17189.96
BULANDSHAHR,17158.0
VARKALA,17142.0
KASARAGOD,17130.0
SIROHI,17059.0
CHHINDWARA,16995.0
BALESHWAR,16950.0
KARUR,16935.9
KOTDWARA,16933.0
Dombivli East,16896.0
DOHAD,16885.0
LONI,16773.0
NANDYAL,16768.15
KALIMPONG,16759.0
TIRUVANNAMALAI,16624.95
KARKAL,16610.0
TRIVANDRUM,16578.0
Panchkula,16556.0
BHANDARA,16542.0
Port Blair,16520.69
CHENGANNUR,16471.08
BIJNOR,16450.0
ARRAH,16430.0
GARHMUKTESHWAR,16297.76
Pathankot,16259.0
RAMAGUNDAM,16218.67
MACHILIPATNAM,16196.21
THOOTHUKKUDI,16132.0
CHERANALLUR,16106.48
CHIRALA,16067.0
BHARATPUR,16058.94
BASTI,15966.0
SITAMARHI,15963.68
TUMKUR,15952.619999999999
DULIAJAN,15948.0
MAUNATH BHANJAN,15893.19
Kota,15747.0
